start_time,away_team,away_team_score,home_team,home_team_score
2001-10-31 00:00:00+00:00,BOSTON CELTICS,108,CLEVELAND CAVALIERS,89
2001-10-31 00:30:00+00:00,INDIANA PACERS,97,NEW JERSEY NETS,103
2001-10-31 00:30:00+00:00,WASHINGTON WIZARDS,91,NEW YORK KNICKS,93
2001-10-31 00:30:00+00:00,TORONTO RAPTORS,85,ORLANDO MAGIC,114
2001-10-31 01:00:00+00:00,PHILADELPHIA 76ERS,74,MINNESOTA TIMBERWOLVES,83
2001-10-31 01:30:00+00:00,DETROIT PISTONS,87,DALLAS MAVERICKS,94
2001-10-31 01:30:00+00:00,ATLANTA HAWKS,84,HOUSTON ROCKETS,89
2001-10-31 01:30:00+00:00,LOS ANGELES CLIPPERS,98,SAN ANTONIO SPURS,109
2001-10-31 02:00:00+00:00,DENVER NUGGETS,99,PHOENIX SUNS,96
2001-10-31 02:00:00+00:00,MILWAUKEE BUCKS,119,UTAH JAZZ,112
2001-10-31 03:00:00+00:00,SEATTLE SUPERSONICS,95,SACRAMENTO KINGS,101
2001-10-31 03:30:00+00:00,PORTLAND TRAIL BLAZERS,87,LOS ANGELES LAKERS,98
2001-11-01 00:00:00+00:00,NEW JERSEY NETS,95,BOSTON CELTICS,92
2001-11-01 00:00:00+00:00,CLEVELAND CAVALIERS,94,CHARLOTTE HORNETS,100
2001-11-01 01:00:00+00:00,TORONTO RAPTORS,92,MIAMI HEAT,97
2001-11-01 01:30:00+00:00,INDIANA PACERS,98,CHICAGO BULLS,73
2001-11-01 03:00:00+00:00,GOLDEN STATE WARRIORS,87,PORTLAND TRAIL BLAZERS,92
2001-11-02 00:00:00+00:00,DALLAS MAVERICKS,99,PHILADELPHIA 76ERS,92
2001-11-02 01:00:00+00:00,WASHINGTON WIZARDS,98,ATLANTA HAWKS,88
2001-11-02 01:00:00+00:00,DETROIT PISTONS,90,MEMPHIS GRIZZLIES,80
2001-11-02 01:30:00+00:00,LOS ANGELES CLIPPERS,92,HOUSTON ROCKETS,98
2001-11-02 02:00:00+00:00,MILWAUKEE BUCKS,102,DENVER NUGGETS,101
2001-11-02 02:00:00+00:00,LOS ANGELES LAKERS,105,UTAH JAZZ,101
2001-11-02 03:00:00+00:00,SAN ANTONIO SPURS,108,SEATTLE SUPERSONICS,114
2001-11-02 03:30:00+00:00,PHOENIX SUNS,107,GOLDEN STATE WARRIORS,101
2001-11-03 00:00:00+00:00,ORLANDO MAGIC,107,INDIANA PACERS,117
2001-11-03 00:00:00+00:00,DALLAS MAVERICKS,92,TORONTO RAPTORS,109
2001-11-03 00:30:00+00:00,CHICAGO BULLS,82,BOSTON CELTICS,96
2001-11-03 00:30:00+00:00,NEW YORK KNICKS,93,CHARLOTTE HORNETS,97
2001-11-03 00:30:00+00:00,CLEVELAND CAVALIERS,90,MIAMI HEAT,83
2001-11-03 01:00:00+00:00,NEW JERSEY NETS,88,DETROIT PISTONS,102
2001-11-03 01:00:00+00:00,MEMPHIS GRIZZLIES,102,MINNESOTA TIMBERWOLVES,111
2001-11-03 03:30:00+00:00,PHOENIX SUNS,94,LOS ANGELES LAKERS,117
2001-11-03 23:30:00+00:00,PHILADELPHIA 76ERS,76,WASHINGTON WIZARDS,90
2001-11-04 00:00:00+00:00,MIAMI HEAT,83,ATLANTA HAWKS,90
2001-11-04 01:00:00+00:00,CHARLOTTE HORNETS,85,NEW JERSEY NETS,95
2001-11-04 01:30:00+00:00,NEW YORK KNICKS,79,CHICAGO BULLS,84
