start_time,away_team,away_team_score,home_team,home_team_score
2008-10-29 00:00:00+00:00,CLEVELAND CAVALIERS,85,BOSTON CELTICS,90
2008-10-29 00:30:00+00:00,MILWAUKEE BUCKS,95,CHICAGO BULLS,108
2008-10-29 02:30:00+00:00,PORTLAND TRAIL BLAZERS,76,LOS ANGELES LAKERS,96
2008-10-29 22:00:00+00:00,TORONTO RAPTORS,95,PHILADELPHIA 76ERS,84
2008-10-29 23:00:00+00:00,NEW JERSEY NETS,95,WASHINGTON WIZARDS,85
2008-10-29 23:00:00+00:00,ATLANTA HAWKS,99,ORLANDO MAGIC,85
2008-10-29 23:30:00+00:00,MIAMI HEAT,115,NEW YORK KNICKS,120
2008-10-30 00:00:00+00:00,PHOENIX SUNS,103,SAN ANTONIO SPURS,98
2008-10-30 00:00:00+00:00,MILWAUKEE BUCKS,98,OKLAHOMA CITY THUNDER,87
2008-10-30 00:00:00+00:00,SACRAMENTO KINGS,96,MINNESOTA TIMBERWOLVES,98
2008-10-30 00:00:00+00:00,INDIANA PACERS,94,DETROIT PISTONS,100
2008-10-30 00:30:00+00:00,MEMPHIS GRIZZLIES,71,HOUSTON ROCKETS,82
2008-10-30 01:00:00+00:00,DENVER NUGGETS,94,UTAH JAZZ,98
2008-10-30 02:30:00+00:00,LOS ANGELES LAKERS,117,LOS ANGELES CLIPPERS,79
2008-10-30 02:30:00+00:00,NEW ORLEANS HORNETS,108,GOLDEN STATE WARRIORS,103
2008-10-30 23:00:00+00:00,CHARLOTTE BOBCATS,79,CLEVELAND CAVALIERS,96
2008-10-31 00:00:00+00:00,HOUSTON ROCKETS,112,DALLAS MAVERICKS,102
2008-10-31 02:30:00+00:00,NEW ORLEANS HORNETS,108,PHOENIX SUNS,95
2008-10-31 23:00:00+00:00,NEW YORK KNICKS,87,PHILADELPHIA 76ERS,116
2008-10-31 23:00:00+00:00,GOLDEN STATE WARRIORS,108,TORONTO RAPTORS,112
2008-10-31 23:30:00+00:00,SACRAMENTO KINGS,77,MIAMI HEAT,103
2008-11-01 00:00:00+00:00,CHICAGO BULLS,80,BOSTON CELTICS,96
2008-11-01 00:00:00+00:00,ORLANDO MAGIC,84,MEMPHIS GRIZZLIES,86
2008-11-01 02:30:00+00:00,DENVER NUGGETS,113,LOS ANGELES CLIPPERS,103
2008-11-01 02:30:00+00:00,SAN ANTONIO SPURS,99,PORTLAND TRAIL BLAZERS,100
2008-11-01 23:00:00+00:00,PHILADELPHIA 76ERS,88,ATLANTA HAWKS,95
2008-11-01 23:00:00+00:00,MIAMI HEAT,87,CHARLOTTE BOBCATS,100
2008-11-01 23:00:00+00:00,BOSTON CELTICS,79,INDIANA PACERS,95
2008-11-01 23:00:00+00:00,SACRAMENTO KINGS,103,ORLANDO MAGIC,121
2008-11-01 23:30:00+00:00,WASHINGTON WIZARDS,109,DETROIT PISTONS,117
2008-11-01 23:30:00+00:00,GOLDEN STATE WARRIORS,105,NEW JERSEY NETS,97
2008-11-02 00:00:00+00:00,DALLAS MAVERICKS,95,MINNESOTA TIMBERWOLVES,85
2008-11-02 00:00:00+00:00,CLEVELAND CAVALIERS,92,NEW ORLEANS HORNETS,104
2008-11-02 00:30:00+00:00,MEMPHIS GRIZZLIES,86,CHICAGO BULLS,96
2008-11-02 00:30:00+00:00,OKLAHOMA CITY THUNDER,77,HOUSTON ROCKETS,89
2008-11-02 00:30:00+00:00,TORONTO RAPTORS,91,MILWAUKEE BUCKS,87
2008-11-02 01:00:00+00:00,LOS ANGELES LAKERS,104,DENVER NUGGETS,97
2008-11-02 01:00:00+00:00,LOS ANGELES CLIPPERS,79,UTAH JAZZ,101
2008-11-02 02:00:00+00:00,PORTLAND TRAIL BLAZERS,96,PHOENIX SUNS,107
2008-11-02 23:00:00+00:00,MILWAUKEE BUCKS,94,NEW YORK KNICKS,86
2008-11-03 00:00:00+00:00,MINNESOTA TIMBERWOLVES,85,OKLAHOMA CITY THUNDER,88
2008-11-04 00:00:00+00:00,DETROIT PISTONS,101,CHARLOTTE BOBCATS,83
2008-11-04 00:00:00+00:00,CHICAGO BULLS,93,ORLANDO MAGIC,96
2008-11-04 00:00:00+00:00,SACRAMENTO KINGS,91,PHILADELPHIA 76ERS,125
2008-11-04 01:00:00+00:00,GOLDEN STATE WARRIORS,79,MEMPHIS GRIZZLIES,90
2008-11-04 01:30:00+00:00,CLEVELAND CAVALIERS,100,DALLAS MAVERICKS,81
2008-11-04 03:30:00+00:00,UTAH JAZZ,89,LOS ANGELES CLIPPERS,73
2008-11-05 00:30:00+00:00,PHOENIX SUNS,114,NEW JERSEY NETS,86
2008-11-05 01:30:00+00:00,BOSTON CELTICS,103,HOUSTON ROCKETS,99
2008-11-05 01:30:00+00:00,DALLAS MAVERICKS,98,SAN ANTONIO SPURS,81
2008-11-06 00:00:00+00:00,PHOENIX SUNS,113,INDIANA PACERS,103
2008-11-06 00:00:00+00:00,DETROIT PISTONS,100,TORONTO RAPTORS,93
2008-11-06 00:30:00+00:00,PHILADELPHIA 76ERS,83,MIAMI HEAT,106
2008-11-06 00:30:00+00:00,CHARLOTTE BOBCATS,98,NEW YORK KNICKS,101
2008-11-06 01:00:00+00:00,CHICAGO BULLS,93,CLEVELAND CAVALIERS,107
2008-11-06 01:00:00+00:00,WASHINGTON WIZARDS,104,MILWAUKEE BUCKS,112
2008-11-06 01:00:00+00:00,SAN ANTONIO SPURS,129,MINNESOTA TIMBERWOLVES,125
2008-11-06 01:00:00+00:00,ATLANTA HAWKS,87,NEW ORLEANS HORNETS,79
2008-11-06 01:00:00+00:00,BOSTON CELTICS,96,OKLAHOMA CITY THUNDER,83
2008-11-06 02:00:00+00:00,PORTLAND TRAIL BLAZERS,96,UTAH JAZZ,103
2008-11-06 03:00:00+00:00,MEMPHIS GRIZZLIES,95,SACRAMENTO KINGS,100
2008-11-06 03:30:00+00:00,DENVER NUGGETS,101,GOLDEN STATE WARRIORS,111
2008-11-06 03:30:00+00:00,LOS ANGELES CLIPPERS,88,LOS ANGELES LAKERS,106
2008-11-07 01:00:00+00:00,PHILADELPHIA 76ERS,88,ORLANDO MAGIC,98
2008-11-07 03:30:00+00:00,HOUSTON ROCKETS,99,PORTLAND TRAIL BLAZERS,101
2008-11-08 00:00:00+00:00,NEW ORLEANS HORNETS,89,CHARLOTTE BOBCATS,92
2008-11-08 00:00:00+00:00,NEW YORK KNICKS,114,WASHINGTON WIZARDS,108
2008-11-08 00:30:00+00:00,TORONTO RAPTORS,92,ATLANTA HAWKS,110
2008-11-08 00:30:00+00:00,MILWAUKEE BUCKS,89,BOSTON CELTICS,101
2008-11-08 00:30:00+00:00,INDIANA PACERS,107,CLEVELAND CAVALIERS,111
2008-11-08 00:30:00+00:00,DETROIT PISTONS,96,NEW JERSEY NETS,103
2008-11-08 01:00:00+00:00,MIAMI HEAT,99,SAN ANTONIO SPURS,83
2008-11-08 01:30:00+00:00,PHOENIX SUNS,83,CHICAGO BULLS,100
2008-11-08 02:00:00+00:00,OKLAHOMA CITY THUNDER,97,UTAH JAZZ,104
2008-11-08 03:00:00+00:00,MINNESOTA TIMBERWOLVES,109,SACRAMENTO KINGS,121
2008-11-08 03:30:00+00:00,DALLAS MAVERICKS,105,DENVER NUGGETS,108
2008-11-08 03:30:00+00:00,MEMPHIS GRIZZLIES,109,GOLDEN STATE WARRIORS,104
2008-11-08 03:30:00+00:00,HOUSTON ROCKETS,92,LOS ANGELES CLIPPERS,83
2008-11-09 00:00:00+00:00,NEW JERSEY NETS,80,INDIANA PACERS,98
2008-11-09 00:00:00+00:00,WASHINGTON WIZARDS,81,ORLANDO MAGIC,106
2008-11-09 01:00:00+00:00,MIAMI HEAT,89,NEW ORLEANS HORNETS,100
2008-11-09 01:30:00+00:00,CLEVELAND CAVALIERS,106,CHICAGO BULLS,97
2008-11-09 01:30:00+00:00,PHOENIX SUNS,104,MILWAUKEE BUCKS,96
2008-11-09 03:00:00+00:00,MINNESOTA TIMBERWOLVES,93,PORTLAND TRAIL BLAZERS,97
2008-11-09 18:00:00+00:00,TORONTO RAPTORS,89,CHARLOTTE BOBCATS,79
2008-11-09 20:00:00+00:00,UTAH JAZZ,99,NEW YORK KNICKS,107
2008-11-09 20:30:00+00:00,DALLAS MAVERICKS,92,LOS ANGELES CLIPPERS,103
2008-11-09 23:00:00+00:00,BOSTON CELTICS,88,DETROIT PISTONS,76
2008-11-10 00:00:00+00:00,ATLANTA HAWKS,89,OKLAHOMA CITY THUNDER,85
2008-11-10 01:00:00+00:00,MEMPHIS GRIZZLIES,90,DENVER NUGGETS,100
2008-11-10 02:00:00+00:00,GOLDEN STATE WARRIORS,98,SACRAMENTO KINGS,115
2008-11-10 02:30:00+00:00,HOUSTON ROCKETS,82,LOS ANGELES LAKERS,111
2008-11-11 00:00:00+00:00,OKLAHOMA CITY THUNDER,99,INDIANA PACERS,107
2008-11-11 00:00:00+00:00,PORTLAND TRAIL BLAZERS,106,ORLANDO MAGIC,99
2008-11-11 00:30:00+00:00,TORONTO RAPTORS,87,BOSTON CELTICS,94
2008-11-11 00:30:00+00:00,NEW JERSEY NETS,94,MIAMI HEAT,99
2008-11-11 02:00:00+00:00,MEMPHIS GRIZZLIES,102,PHOENIX SUNS,107
2008-11-12 00:00:00+00:00,DENVER NUGGETS,88,CHARLOTTE BOBCATS,80
2008-11-12 00:00:00+00:00,MILWAUKEE BUCKS,93,CLEVELAND CAVALIERS,99
2008-11-12 00:00:00+00:00,UTAH JAZZ,93,PHILADELPHIA 76ERS,80
2008-11-12 01:30:00+00:00,ATLANTA HAWKS,113,CHICAGO BULLS,108
2008-11-12 01:30:00+00:00,LOS ANGELES LAKERS,106,DALLAS MAVERICKS,99
2008-11-12 01:30:00+00:00,NEW YORK KNICKS,80,SAN ANTONIO SPURS,92
2008-11-12 03:00:00+00:00,DETROIT PISTONS,100,SACRAMENTO KINGS,92
2008-11-12 03:30:00+00:00,MINNESOTA TIMBERWOLVES,110,GOLDEN STATE WARRIORS,113
2008-11-13 00:00:00+00:00,PHILADELPHIA 76ERS,106,TORONTO RAPTORS,96
2008-11-13 00:30:00+00:00,ATLANTA HAWKS,102,BOSTON CELTICS,103
2008-11-13 00:30:00+00:00,INDIANA PACERS,98,NEW JERSEY NETS,87
2008-11-13 01:00:00+00:00,NEW YORK KNICKS,132,MEMPHIS GRIZZLIES,103
2008-11-13 01:00:00+00:00,PORTLAND TRAIL BLAZERS,104,MIAMI HEAT,96
2008-11-13 01:00:00+00:00,SAN ANTONIO SPURS,78,MILWAUKEE BUCKS,82
2008-11-13 01:00:00+00:00,LOS ANGELES LAKERS,93,NEW ORLEANS HORNETS,86
2008-11-13 01:00:00+00:00,ORLANDO MAGIC,109,OKLAHOMA CITY THUNDER,92
2008-11-13 01:00:00+00:00,UTAH JAZZ,87,WASHINGTON WIZARDS,95
2008-11-13 03:30:00+00:00,SACRAMENTO KINGS,103,LOS ANGELES CLIPPERS,98
2008-11-13 03:30:00+00:00,HOUSTON ROCKETS,94,PHOENIX SUNS,82
2008-11-14 01:00:00+00:00,DENVER NUGGETS,99,CLEVELAND CAVALIERS,110
2008-11-14 01:30:00+00:00,DALLAS MAVERICKS,91,CHICAGO BULLS,98
2008-11-14 03:30:00+00:00,DETROIT PISTONS,107,GOLDEN STATE WARRIORS,102
2008-11-15 00:00:00+00:00,UTAH JAZZ,96,CHARLOTTE BOBCATS,104
2008-11-15 00:00:00+00:00,PHILADELPHIA 76ERS,94,INDIANA PACERS,92
2008-11-15 00:30:00+00:00,WASHINGTON WIZARDS,77,MIAMI HEAT,97
2008-11-15 00:30:00+00:00,ATLANTA HAWKS,108,NEW JERSEY NETS,115
2008-11-15 00:30:00+00:00,OKLAHOMA CITY THUNDER,106,NEW YORK KNICKS,116
2008-11-15 01:00:00+00:00,DENVER NUGGETS,94,BOSTON CELTICS,85
2008-11-15 01:00:00+00:00,MILWAUKEE BUCKS,101,MEMPHIS GRIZZLIES,96
2008-11-15 01:00:00+00:00,PORTLAND TRAIL BLAZERS,82,NEW ORLEANS HORNETS,87
2008-11-15 01:30:00+00:00,ORLANDO MAGIC,102,DALLAS MAVERICKS,100
2008-11-15 01:30:00+00:00,HOUSTON ROCKETS,75,SAN ANTONIO SPURS,77
2008-11-15 03:00:00+00:00,PHOENIX SUNS,97,SACRAMENTO KINGS,95
2008-11-15 03:30:00+00:00,DETROIT PISTONS,106,LOS ANGELES LAKERS,95
2008-11-15 20:30:00+00:00,GOLDEN STATE WARRIORS,121,LOS ANGELES CLIPPERS,103
2008-11-16 00:00:00+00:00,NEW JERSEY NETS,119,ATLANTA HAWKS,107
2008-11-16 00:00:00+00:00,OKLAHOMA CITY THUNDER,85,PHILADELPHIA 76ERS,110
2008-11-16 00:30:00+00:00,UTAH JAZZ,93,CLEVELAND CAVALIERS,105
2008-11-16 01:00:00+00:00,PORTLAND TRAIL BLAZERS,88,MINNESOTA TIMBERWOLVES,83
2008-11-16 01:30:00+00:00,INDIANA PACERS,91,CHICAGO BULLS,104
2008-11-16 01:30:00+00:00,NEW ORLEANS HORNETS,82,HOUSTON ROCKETS,91
2008-11-16 01:30:00+00:00,BOSTON CELTICS,102,MILWAUKEE BUCKS,97
2008-11-16 18:00:00+00:00,MIAMI HEAT,96,TORONTO RAPTORS,107
2008-11-16 22:30:00+00:00,ORLANDO MAGIC,90,CHARLOTTE BOBCATS,85
2008-11-16 23:00:00+00:00,DALLAS MAVERICKS,124,NEW YORK KNICKS,114
2008-11-17 01:00:00+00:00,MINNESOTA TIMBERWOLVES,84,DENVER NUGGETS,90
2008-11-17 01:00:00+00:00,DETROIT PISTONS,86,PHOENIX SUNS,104
2008-11-17 02:00:00+00:00,SAN ANTONIO SPURS,90,SACRAMENTO KINGS,88
2008-11-18 01:00:00+00:00,HOUSTON ROCKETS,100,OKLAHOMA CITY THUNDER,89
2008-11-18 02:00:00+00:00,PHOENIX SUNS,97,UTAH JAZZ,109
2008-11-18 03:30:00+00:00,SAN ANTONIO SPURS,86,LOS ANGELES CLIPPERS,83
2008-11-19 00:00:00+00:00,DALLAS MAVERICKS,100,CHARLOTTE BOBCATS,83
2008-11-19 00:00:00+00:00,ATLANTA HAWKS,96,INDIANA PACERS,113
2008-11-19 00:00:00+00:00,TORONTO RAPTORS,90,ORLANDO MAGIC,103
2008-11-19 00:00:00+00:00,MIAMI HEAT,94,WASHINGTON WIZARDS,87
2008-11-19 00:30:00+00:00,NEW YORK KNICKS,101,BOSTON CELTICS,110
2008-11-19 00:30:00+00:00,CLEVELAND CAVALIERS,106,NEW JERSEY NETS,82
2008-11-19 01:00:00+00:00,SACRAMENTO KINGS,94,MEMPHIS GRIZZLIES,109
2008-11-19 02:00:00+00:00,MILWAUKEE BUCKS,105,DENVER NUGGETS,114
2008-11-19 03:30:00+00:00,PORTLAND TRAIL BLAZERS,106,GOLDEN STATE WARRIORS,111
2008-11-19 03:30:00+00:00,CHICAGO BULLS,109,LOS ANGELES LAKERS,116
2008-11-20 00:00:00+00:00,WASHINGTON WIZARDS,87,ATLANTA HAWKS,91
2008-11-20 00:30:00+00:00,CLEVELAND CAVALIERS,89,DETROIT PISTONS,96
2008-11-20 00:30:00+00:00,TORONTO RAPTORS,101,MIAMI HEAT,95
2008-11-20 01:00:00+00:00,DALLAS MAVERICKS,96,HOUSTON ROCKETS,86
2008-11-20 01:00:00+00:00,PHILADELPHIA 76ERS,96,MINNESOTA TIMBERWOLVES,102
2008-11-20 01:00:00+00:00,SACRAMENTO KINGS,105,NEW ORLEANS HORNETS,96
2008-11-20 01:00:00+00:00,LOS ANGELES CLIPPERS,108,OKLAHOMA CITY THUNDER,88
2008-11-20 01:30:00+00:00,DENVER NUGGETS,91,SAN ANTONIO SPURS,81
2008-11-20 02:00:00+00:00,MILWAUKEE BUCKS,94,UTAH JAZZ,105
2008-11-20 03:30:00+00:00,CHICAGO BULLS,74,PORTLAND TRAIL BLAZERS,116
2008-11-21 01:00:00+00:00,DETROIT PISTONS,80,BOSTON CELTICS,98
2008-11-21 03:30:00+00:00,LOS ANGELES LAKERS,105,PHOENIX SUNS,92
2008-11-22 00:00:00+00:00,ORLANDO MAGIC,100,INDIANA PACERS,98
2008-11-22 00:00:00+00:00,LOS ANGELES CLIPPERS,88,PHILADELPHIA 76ERS,89
2008-11-22 00:00:00+00:00,NEW JERSEY NETS,129,TORONTO RAPTORS,127
2008-11-22 00:00:00+00:00,HOUSTON ROCKETS,103,WASHINGTON WIZARDS,91
