start_time,away_team,away_team_score,home_team,home_team_score
1999-11-02 05:00:00+00:00,ORLANDO MAGIC,86,CHARLOTTE HORNETS,100
1999-11-02 05:00:00+00:00,GOLDEN STATE WARRIORS,96,DALLAS MAVERICKS,108
1999-11-02 05:00:00+00:00,PHOENIX SUNS,102,DENVER NUGGETS,107
1999-11-02 05:00:00+00:00,MILWAUKEE BUCKS,98,HOUSTON ROCKETS,93
1999-11-02 05:00:00+00:00,SEATTLE SUPERSONICS,104,LOS ANGELES CLIPPERS,92
1999-11-02 05:00:00+00:00,DETROIT PISTONS,122,MIAMI HEAT,128
1999-11-02 05:00:00+00:00,INDIANA PACERS,119,NEW JERSEY NETS,112
1999-11-02 05:00:00+00:00,CLEVELAND CAVALIERS,84,NEW YORK KNICKS,92
1999-11-02 05:00:00+00:00,PHILADELPHIA 76ERS,76,SAN ANTONIO SPURS,89
1999-11-02 05:00:00+00:00,BOSTON CELTICS,103,TORONTO RAPTORS,90
1999-11-02 05:00:00+00:00,LOS ANGELES LAKERS,91,UTAH JAZZ,84
1999-11-02 05:00:00+00:00,PORTLAND TRAIL BLAZERS,106,VANCOUVER GRIZZLIES,86
1999-11-02 05:00:00+00:00,ATLANTA HAWKS,87,WASHINGTON WIZARDS,94
1999-11-03 05:00:00+00:00,WASHINGTON WIZARDS,101,BOSTON CELTICS,112
1999-11-03 05:00:00+00:00,NEW YORK KNICKS,84,CHICAGO BULLS,74
1999-11-03 05:00:00+00:00,NEW JERSEY NETS,90,CLEVELAND CAVALIERS,97
1999-11-03 05:00:00+00:00,VANCOUVER GRIZZLIES,88,LOS ANGELES LAKERS,103
1999-11-03 05:00:00+00:00,DETROIT PISTONS,94,ORLANDO MAGIC,103
1999-11-03 05:00:00+00:00,LOS ANGELES CLIPPERS,98,PORTLAND TRAIL BLAZERS,121
1999-11-04 05:00:00+00:00,MILWAUKEE BUCKS,119,ATLANTA HAWKS,109
1999-11-04 05:00:00+00:00,INDIANA PACERS,89,CHARLOTTE HORNETS,98
1999-11-04 05:00:00+00:00,PHILADELPHIA 76ERS,80,PHOENIX SUNS,84
1999-11-04 05:00:00+00:00,GOLDEN STATE WARRIORS,81,SAN ANTONIO SPURS,104
1999-11-04 05:00:00+00:00,DALLAS MAVERICKS,96,SEATTLE SUPERSONICS,106
1999-11-04 05:00:00+00:00,MIAMI HEAT,86,TORONTO RAPTORS,97
1999-11-04 05:00:00+00:00,HOUSTON ROCKETS,82,UTAH JAZZ,98
1999-11-05 05:00:00+00:00,CHARLOTTE HORNETS,100,BOSTON CELTICS,103
1999-11-05 05:00:00+00:00,MIAMI HEAT,105,CHICAGO BULLS,87
1999-11-05 05:00:00+00:00,NEW YORK KNICKS,103,DETROIT PISTONS,91
1999-11-05 05:00:00+00:00,SAN ANTONIO SPURS,95,HOUSTON ROCKETS,85
1999-11-05 05:00:00+00:00,PHILADELPHIA 76ERS,81,LOS ANGELES CLIPPERS,91
1999-11-05 05:00:00+00:00,TORONTO RAPTORS,112,NEW JERSEY NETS,92
1999-11-05 05:00:00+00:00,CLEVELAND CAVALIERS,104,ORLANDO MAGIC,99
1999-11-05 05:00:00+00:00,DENVER NUGGETS,83,PORTLAND TRAIL BLAZERS,95
1999-11-05 05:00:00+00:00,MINNESOTA TIMBERWOLVES,95,SACRAMENTO KINGS,100
1999-11-06 05:00:00+00:00,CHICAGO BULLS,97,ATLANTA HAWKS,113
1999-11-06 05:00:00+00:00,NEW YORK KNICKS,93,CLEVELAND CAVALIERS,102
1999-11-06 05:00:00+00:00,DALLAS MAVERICKS,120,GOLDEN STATE WARRIORS,97
1999-11-06 05:00:00+00:00,BOSTON CELTICS,108,INDIANA PACERS,115
1999-11-06 05:00:00+00:00,DETROIT PISTONS,111,MILWAUKEE BUCKS,121
1999-11-06 05:00:00+00:00,SACRAMENTO KINGS,101,MINNESOTA TIMBERWOLVES,114
1999-11-06 05:00:00+00:00,LOS ANGELES LAKERS,82,PORTLAND TRAIL BLAZERS,97
1999-11-06 05:00:00+00:00,UTAH JAZZ,94,SEATTLE SUPERSONICS,99
1999-11-06 05:00:00+00:00,DENVER NUGGETS,94,VANCOUVER GRIZZLIES,109
1999-11-06 05:00:00+00:00,ORLANDO MAGIC,107,WASHINGTON WIZARDS,104
1999-11-07 05:00:00+00:00,DALLAS MAVERICKS,97,LOS ANGELES LAKERS,105
1999-11-07 05:00:00+00:00,WASHINGTON WIZARDS,87,NEW JERSEY NETS,112
