start_time,away_team,away_team_score,home_team,home_team_score
2005-11-02 00:00:00+00:00,MILWAUKEE BUCKS,117,PHILADELPHIA 76ERS,108
2005-11-02 01:00:00+00:00,SACRAMENTO KINGS,67,NEW ORLEANS/OKLAHOMA CITY HORNETS,93
2005-11-02 01:00:00+00:00,DENVER NUGGETS,91,SAN ANTONIO SPURS,102
2005-11-02 03:30:00+00:00,DALLAS MAVERICKS,111,PHOENIX SUNS,108
2005-11-03 00:00:00+00:00,NEW ORLEANS/OKLAHOMA CITY HORNETS,87,CLEVELAND CAVALIERS,109
2005-11-03 00:00:00+00:00,INDIANA PACERS,90,ORLANDO MAGIC,78
2005-11-03 00:00:00+00:00,WASHINGTON WIZARDS,99,TORONTO RAPTORS,96
2005-11-03 00:30:00+00:00,NEW YORK KNICKS,100,BOSTON CELTICS,114
2005-11-03 00:30:00+00:00,MILWAUKEE BUCKS,110,NEW JERSEY NETS,96
2005-11-03 01:00:00+00:00,PHILADELPHIA 76ERS,88,DETROIT PISTONS,108
2005-11-03 01:00:00+00:00,MIAMI HEAT,97,MEMPHIS GRIZZLIES,78
2005-11-03 01:00:00+00:00,PORTLAND TRAIL BLAZERS,86,MINNESOTA TIMBERWOLVES,90
2005-11-03 01:30:00+00:00,CHARLOTTE BOBCATS,105,CHICAGO BULLS,109
2005-11-03 01:30:00+00:00,SACRAMENTO KINGS,89,HOUSTON ROCKETS,98
2005-11-03 02:00:00+00:00,DALLAS MAVERICKS,82,UTAH JAZZ,93
2005-11-03 03:00:00+00:00,LOS ANGELES CLIPPERS,101,SEATTLE SUPERSONICS,93
2005-11-03 03:30:00+00:00,LOS ANGELES LAKERS,99,DENVER NUGGETS,97
2005-11-03 03:30:00+00:00,ATLANTA HAWKS,97,GOLDEN STATE WARRIORS,122
2005-11-04 01:00:00+00:00,INDIANA PACERS,105,MIAMI HEAT,102
2005-11-04 03:30:00+00:00,PHOENIX SUNS,122,LOS ANGELES LAKERS,112
2005-11-05 00:00:00+00:00,MEMPHIS GRIZZLIES,94,ORLANDO MAGIC,85
2005-11-05 00:00:00+00:00,CHARLOTTE BOBCATS,110,PHILADELPHIA 76ERS,93
2005-11-05 00:00:00+00:00,NEW JERSEY NETS,102,TORONTO RAPTORS,92
2005-11-05 00:30:00+00:00,DETROIT PISTONS,82,BOSTON CELTICS,81
2005-11-05 00:30:00+00:00,WASHINGTON WIZARDS,86,NEW YORK KNICKS,75
2005-11-05 01:00:00+00:00,CLEVELAND CAVALIERS,76,SAN ANTONIO SPURS,102
2005-11-05 02:00:00+00:00,PORTLAND TRAIL BLAZERS,68,DENVER NUGGETS,107
2005-11-05 03:30:00+00:00,UTAH JAZZ,91,GOLDEN STATE WARRIORS,85
2005-11-05 03:30:00+00:00,ATLANTA HAWKS,77,LOS ANGELES CLIPPERS,92
2005-11-05 03:30:00+00:00,MINNESOTA TIMBERWOLVES,102,SEATTLE SUPERSONICS,107
2005-11-06 00:00:00+00:00,ORLANDO MAGIC,79,WASHINGTON WIZARDS,87
2005-11-06 00:30:00+00:00,BOSTON CELTICS,105,CHARLOTTE BOBCATS,107
2005-11-06 00:30:00+00:00,TORONTO RAPTORS,84,DETROIT PISTONS,117
2005-11-06 00:30:00+00:00,CHICAGO BULLS,99,NEW JERSEY NETS,100
2005-11-06 01:00:00+00:00,PHILADELPHIA 76ERS,111,INDIANA PACERS,109
2005-11-06 01:00:00+00:00,CLEVELAND CAVALIERS,106,MEMPHIS GRIZZLIES,113
2005-11-06 01:30:00+00:00,SAN ANTONIO SPURS,84,DALLAS MAVERICKS,103
2005-11-06 01:30:00+00:00,NEW ORLEANS/OKLAHOMA CITY HORNETS,91,HOUSTON ROCKETS,84
2005-11-06 01:30:00+00:00,MIAMI HEAT,100,MILWAUKEE BUCKS,105
2005-11-06 02:00:00+00:00,PHOENIX SUNS,97,UTAH JAZZ,88
2005-11-06 03:00:00+00:00,ATLANTA HAWKS,93,PORTLAND TRAIL BLAZERS,94
2005-11-06 03:30:00+00:00,MINNESOTA TIMBERWOLVES,99,LOS ANGELES CLIPPERS,100
2005-11-06 18:00:00+00:00,GOLDEN STATE WARRIORS,83,NEW YORK KNICKS,81
2005-11-07 01:00:00+00:00,SACRAMENTO KINGS,118,PHOENIX SUNS,117
2005-11-07 02:30:00+00:00,DENVER NUGGETS,92,LOS ANGELES LAKERS,112
2005-11-08 00:00:00+00:00,CLEVELAND CAVALIERS,105,TORONTO RAPTORS,93
2005-11-08 00:30:00+00:00,UTAH JAZZ,95,CHARLOTTE BOBCATS,91
2005-11-08 00:30:00+00:00,NEW JERSEY NETS,89,MIAMI HEAT,90
2005-11-08 01:00:00+00:00,LOS ANGELES CLIPPERS,78,MINNESOTA TIMBERWOLVES,93
2005-11-08 01:30:00+00:00,SAN ANTONIO SPURS,104,CHICAGO BULLS,95
2005-11-09 00:00:00+00:00,LOS ANGELES LAKERS,103,ATLANTA HAWKS,97
2005-11-09 01:00:00+00:00,SEATTLE SUPERSONICS,69,MEMPHIS GRIZZLIES,94
2005-11-09 01:00:00+00:00,GOLDEN STATE WARRIORS,110,MILWAUKEE BUCKS,103
2005-11-09 01:30:00+00:00,ORLANDO MAGIC,76,HOUSTON ROCKETS,74
2005-11-09 03:00:00+00:00,DETROIT PISTONS,102,SACRAMENTO KINGS,88
2005-11-10 00:00:00+00:00,SEATTLE SUPERSONICS,85,CLEVELAND CAVALIERS,112
2005-11-10 00:00:00+00:00,DALLAS MAVERICKS,97,PHILADELPHIA 76ERS,112
2005-11-10 00:00:00+00:00,LOS ANGELES CLIPPERS,102,WASHINGTON WIZARDS,97
2005-11-10 00:30:00+00:00,MEMPHIS GRIZZLIES,98,BOSTON CELTICS,99
2005-11-10 00:30:00+00:00,SAN ANTONIO SPURS,94,CHARLOTTE BOBCATS,86
2005-11-10 00:30:00+00:00,UTAH JAZZ,83,NEW JERSEY NETS,91
2005-11-10 01:00:00+00:00,MIAMI HEAT,90,INDIANA PACERS,95
2005-11-10 01:00:00+00:00,LOS ANGELES LAKERS,74,MINNESOTA TIMBERWOLVES,88
2005-11-10 01:00:00+00:00,ORLANDO MAGIC,88,NEW ORLEANS/OKLAHOMA CITY HORNETS,83
2005-11-10 01:30:00+00:00,GOLDEN STATE WARRIORS,84,CHICAGO BULLS,85
2005-11-10 03:00:00+00:00,NEW YORK KNICKS,83,PORTLAND TRAIL BLAZERS,95
2005-11-10 03:30:00+00:00,SACRAMENTO KINGS,91,DENVER NUGGETS,107
2005-11-11 00:00:00+00:00,LOS ANGELES CLIPPERS,102,ATLANTA HAWKS,95
2005-11-11 01:00:00+00:00,HOUSTON ROCKETS,84,MIAMI HEAT,88
2005-11-11 03:30:00+00:00,DETROIT PISTONS,111,PHOENIX SUNS,104
2005-11-12 00:00:00+00:00,NEW JERSEY NETS,90,INDIANA PACERS,102
2005-11-12 00:00:00+00:00,UTAH JAZZ,99,TORONTO RAPTORS,84
2005-11-12 00:30:00+00:00,SAN ANTONIO SPURS,103,BOSTON CELTICS,82
2005-11-12 00:30:00+00:00,DALLAS MAVERICKS,98,CHARLOTTE BOBCATS,88
2005-11-12 00:30:00+00:00,MEMPHIS GRIZZLIES,70,CLEVELAND CAVALIERS,89
2005-11-12 00:30:00+00:00,SEATTLE SUPERSONICS,96,WASHINGTON WIZARDS,137
2005-11-12 01:00:00+00:00,LOS ANGELES LAKERS,81,PHILADELPHIA 76ERS,85
2005-11-12 03:00:00+00:00,DENVER NUGGETS,85,SACRAMENTO KINGS,101
2005-11-12 03:30:00+00:00,NEW YORK KNICKS,84,GOLDEN STATE WARRIORS,86
2005-11-12 03:30:00+00:00,DETROIT PISTONS,84,PORTLAND TRAIL BLAZERS,81
2005-11-13 00:00:00+00:00,MEMPHIS GRIZZLIES,85,ATLANTA HAWKS,84
2005-11-13 00:00:00+00:00,SAN ANTONIO SPURS,95,WASHINGTON WIZARDS,110
2005-11-13 00:30:00+00:00,CHARLOTTE BOBCATS,99,MIAMI HEAT,108
2005-11-13 01:00:00+00:00,HOUSTON ROCKETS,99,NEW JERSEY NETS,91
2005-11-13 01:00:00+00:00,DALLAS MAVERICKS,109,NEW ORLEANS/OKLAHOMA CITY HORNETS,103
2005-11-13 01:30:00+00:00,UTAH JAZZ,98,CHICAGO BULLS,103
2005-11-13 01:30:00+00:00,INDIANA PACERS,102,MILWAUKEE BUCKS,103
2005-11-13 02:00:00+00:00,GOLDEN STATE WARRIORS,86,PHOENIX SUNS,101
2005-11-13 18:00:00+00:00,SEATTLE SUPERSONICS,126,TORONTO RAPTORS,121
2005-11-13 23:00:00+00:00,HOUSTON ROCKETS,82,BOSTON CELTICS,102
2005-11-13 23:00:00+00:00,CLEVELAND CAVALIERS,108,ORLANDO MAGIC,100
2005-11-13 23:00:00+00:00,LOS ANGELES CLIPPERS,108,PHILADELPHIA 76ERS,113
2005-11-14 02:00:00+00:00,MINNESOTA TIMBERWOLVES,91,DENVER NUGGETS,102
2005-11-14 02:00:00+00:00,NEW YORK KNICKS,105,SACRAMENTO KINGS,95
2005-11-15 01:00:00+00:00,LOS ANGELES LAKERS,73,MEMPHIS GRIZZLIES,85
2005-11-15 02:00:00+00:00,NEW YORK KNICKS,73,UTAH JAZZ,62
2005-11-15 03:30:00+00:00,CHICAGO BULLS,82,GOLDEN STATE WARRIORS,100
2005-11-16 00:00:00+00:00,WASHINGTON WIZARDS,99,CLEVELAND CAVALIERS,114
2005-11-16 00:00:00+00:00,CHARLOTTE BOBCATS,77,ORLANDO MAGIC,85
2005-11-16 00:00:00+00:00,TORONTO RAPTORS,92,PHILADELPHIA 76ERS,104
2005-11-16 00:30:00+00:00,BOSTON CELTICS,100,DETROIT PISTONS,115
2005-11-16 00:30:00+00:00,NEW ORLEANS/OKLAHOMA CITY HORNETS,102,MIAMI HEAT,109
2005-11-16 00:30:00+00:00,SEATTLE SUPERSONICS,99,NEW JERSEY NETS,109
2005-11-16 01:00:00+00:00,HOUSTON ROCKETS,94,MINNESOTA TIMBERWOLVES,89
2005-11-16 01:30:00+00:00,DENVER NUGGETS,80,DALLAS MAVERICKS,83
2005-11-16 01:30:00+00:00,ATLANTA HAWKS,79,SAN ANTONIO SPURS,103
2005-11-16 03:00:00+00:00,UTAH JAZZ,83,SACRAMENTO KINGS,119
2005-11-16 03:30:00+00:00,MILWAUKEE BUCKS,85,LOS ANGELES CLIPPERS,109
2005-11-17 00:00:00+00:00,PHILADELPHIA 76ERS,121,TORONTO RAPTORS,115
2005-11-17 00:30:00+00:00,SEATTLE SUPERSONICS,113,BOSTON CELTICS,100
2005-11-17 00:30:00+00:00,INDIANA PACERS,90,CHARLOTTE BOBCATS,122
2005-11-17 01:00:00+00:00,DENVER NUGGETS,91,NEW ORLEANS/OKLAHOMA CITY HORNETS,81
2005-11-17 02:00:00+00:00,MEMPHIS GRIZZLIES,115,PHOENIX SUNS,103
2005-11-17 03:00:00+00:00,NEW YORK KNICKS,92,LOS ANGELES LAKERS,97
2005-11-17 03:00:00+00:00,CHICAGO BULLS,93,PORTLAND TRAIL BLAZERS,96
2005-11-17 03:30:00+00:00,MILWAUKEE BUCKS,90,GOLDEN STATE WARRIORS,87
2005-11-18 00:00:00+00:00,WASHINGTON WIZARDS,98,MINNESOTA TIMBERWOLVES,109
2005-11-18 01:30:00+00:00,ATLANTA HAWKS,78,DALLAS MAVERICKS,87
2005-11-18 02:30:00+00:00,HOUSTON ROCKETS,80,SAN ANTONIO SPURS,86
2005-11-19 00:00:00+00:00,ORLANDO MAGIC,84,CLEVELAND CAVALIERS,102
2005-11-19 00:00:00+00:00,CHARLOTTE BOBCATS,85,INDIANA PACERS,93
2005-11-19 00:30:00+00:00,TORONTO RAPTORS,93,BOSTON CELTICS,100
2005-11-19 00:30:00+00:00,PHILADELPHIA 76ERS,96,MIAMI HEAT,106
2005-11-19 01:00:00+00:00,ATLANTA HAWKS,92,NEW ORLEANS/OKLAHOMA CITY HORNETS,95
2005-11-19 02:00:00+00:00,NEW YORK KNICKS,86,DENVER NUGGETS,95
2005-11-19 02:00:00+00:00,UTAH JAZZ,94,PHOENIX SUNS,102
2005-11-19 02:30:00+00:00,DETROIT PISTONS,78,HOUSTON ROCKETS,70
2005-11-19 03:00:00+00:00,GOLDEN STATE WARRIORS,91,PORTLAND TRAIL BLAZERS,80
2005-11-19 03:00:00+00:00,MILWAUKEE BUCKS,82,SACRAMENTO KINGS,103
2005-11-19 03:30:00+00:00,LOS ANGELES CLIPPERS,97,LOS ANGELES LAKERS,91
2005-11-19 03:30:00+00:00,CHICAGO BULLS,84,SEATTLE SUPERSONICS,98
2005-11-20 00:00:00+00:00,NEW ORLEANS/OKLAHOMA CITY HORNETS,98,ORLANDO MAGIC,95
2005-11-20 00:00:00+00:00,CLEVELAND CAVALIERS,123,PHILADELPHIA 76ERS,120
2005-11-20 00:30:00+00:00,WASHINGTON WIZARDS,83,NEW JERSEY NETS,89
2005-11-20 01:00:00+00:00,CHARLOTTE BOBCATS,89,MINNESOTA TIMBERWOLVES,102
2005-11-20 01:30:00+00:00,DETROIT PISTONS,82,DALLAS MAVERICKS,119
2005-11-20 01:30:00+00:00,PHOENIX SUNS,91,SAN ANTONIO SPURS,97
2005-11-20 02:00:00+00:00,MEMPHIS GRIZZLIES,80,UTAH JAZZ,72
2005-11-20 17:00:00+00:00,PORTLAND TRAIL BLAZERS,92,NEW YORK KNICKS,103
2005-11-20 18:00:00+00:00,MIAMI HEAT,94,TORONTO RAPTORS,107
2005-11-20 20:30:00+00:00,GOLDEN STATE WARRIORS,101,LOS ANGELES CLIPPERS,113
2005-11-21 00:00:00+00:00,HOUSTON ROCKETS,74,INDIANA PACERS,85
2005-11-21 02:00:00+00:00,MEMPHIS GRIZZLIES,83,DENVER NUGGETS,99
2005-11-21 02:00:00+00:00,SACRAMENTO KINGS,104,SEATTLE SUPERSONICS,106
2005-11-21 02:30:00+00:00,CHICAGO BULLS,96,LOS ANGELES LAKERS,93
2005-11-22 00:00:00+00:00,NEW ORLEANS/OKLAHOMA CITY HORNETS,91,PHILADELPHIA 76ERS,103
2005-11-22 02:00:00+00:00,MILWAUKEE BUCKS,80,UTAH JAZZ,100
2005-11-22 03:00:00+00:00,SAN ANTONIO SPURS,96,SACRAMENTO KINGS,93
2005-11-22 03:30:00+00:00,NEW JERSEY NETS,97,GOLDEN STATE WARRIORS,100
2005-11-23 00:00:00+00:00,BOSTON CELTICS,93,CLEVELAND CAVALIERS,115
2005-11-23 00:00:00+00:00,DENVER NUGGETS,108,WASHINGTON WIZARDS,105
2005-11-23 01:00:00+00:00,PORTLAND TRAIL BLAZERS,95,MEMPHIS GRIZZLIES,87
2005-11-23 01:30:00+00:00,HOUSTON ROCKETS,93,DALLAS MAVERICKS,102
2005-11-23 02:00:00+00:00,TORONTO RAPTORS,82,PHOENIX SUNS,90
2005-11-23 03:00:00+00:00,UTAH JAZZ,93,SEATTLE SUPERSONICS,87
