,date,team1,season,team2,ortg_team1,ast%_team1,ts%_team1,efg%_team1,poss_team1,dreb%_team1,oreb%_team1,stl%_team1,blk%_team1,tov%_team1,fg%_team1,3fg%_team1,ft%_team1,win%_team1,homeaway_win%_team1,b2bbreak_win%_team1,travel_win%_team1,ortg_team2,ast%_team2,ts%_team2,efg%_team2,poss_team2,dreb%_team2,oreb%_team2,stl%_team2,blk%_team2,tov%_team2,fg%_team2,3fg%_team2,ft%_team2,win%_team2,homeaway_win%_team2,b2bbreak_win%_team2,travel_win%_team2,win_flag_team1
14009,2015-10-28,DETROIT PISTONS,2016,ATLANTA HAWKS,107.72357723577235,62.16216216216216,0.4932985852568876,0.4479166666666667,98.4,0.8372093023255814,0.4107142857142857,0.052083333333333336,0.03125,0.1524390243902439,0.3854166666666667,0.41379310344827586,0.7692307692307693,inf,0.0,1.0,1.0,97.91666666666666,59.45945945945946,0.5304740406320542,0.5,96.0,0.5892857142857143,0.16279069767441862,0.09146341463414634,0.04065040650406504,0.15625,0.45121951219512196,0.2962962962962963,0.8,0.0,0.0,0.0,0.0,1
7059,2015-10-28,CHICAGO BULLS,2016,CLEVELAND CAVALIERS,94.9119373776908,35.13513513513514,0.4993822075782537,0.46551724137931033,102.2,0.7843137254901961,0.15217391304347827,0.06012024048096193,0.10020040080160321,0.12720156555772993,0.42528735632183906,0.3684210526315789,0.6956521739130435,inf,0.0,1.0,1.0,95.19038076152306,68.42105263157895,0.46807252660622783,0.4521276595744681,99.8,0.8478260869565217,0.21568627450980393,0.04892367906066536,0.0684931506849315,0.10020040080160321,0.40425531914893614,0.3103448275862069,0.5882352941176471,0.0,0.0,0.0,0.0,1
15743,2015-10-31,GOLDEN STATE WARRIORS,2016,HOUSTON ROCKETS,112.00000000000001,60.46511627906976,0.5384615384615384,0.510752688172043,100.0,0.75,0.22916666666666666,0.0896414342629482,0.0398406374501992,0.08,0.46236559139784944,0.34615384615384615,0.68,2.0,1.0,1.0,1.0,91.63346613545816,63.33333333333333,0.4701553556827473,0.39634146341463417,100.4,0.7708333333333334,0.25,0.03,0.09,0.1593625498007968,0.36585365853658536,0.21739130434782608,0.75,0.0,0.0,0.0,0.0,1
45140,2016-10-30,SAN ANTONIO SPURS,2017,NEW ORLEANS PELICANS,102.94117647058823,60.0,0.5262027491408935,0.4819277108433735,95.2,0.8627450980392157,0.13636363636363635,0.06382978723404255,0.07446808510638298,0.09453781512605042,0.42168674698795183,0.4166666666666667,0.782608695652174,1.5,0.0,1.0,1.0,84.04255319148936,43.75,0.4265658747300216,0.3953488372093023,94.0,0.8636363636363636,0.13725490196078433,0.06302521008403361,0.052521008403361345,0.09574468085106383,0.37209302325581395,0.18181818181818182,0.7333333333333333,0.0,0.0,0.0,0.0,1
3357,2018-10-20,BOSTON CELTICS,2019,TORONTO RAPTORS,100.0,72.5,0.48839458413926495,0.47474747474747475,101.0,0.7333333333333333,0.3018867924528302,0.040160642570281124,0.06024096385542169,0.13861386138613863,0.40404040404040403,0.3888888888888889,0.7,2.0,1.0,1.0,1.0,113.45381526104418,55.81395348837209,0.5629732961339179,0.5380434782608695,99.6,0.6981132075471698,0.26666666666666666,0.0297029702970297,0.0297029702970297,0.12048192771084339,0.4673913043478261,0.37142857142857144,0.7368421052631579,2.0,1.0,1.0,0.0,0
