start_time,away_team,away_team_score,home_team,home_team_score
2003-10-29 00:00:00+00:00,MIAMI HEAT,74,PHILADELPHIA 76ERS,89
2003-10-29 01:00:00+00:00,PHOENIX SUNS,82,SAN ANTONIO SPURS,83
2003-10-29 03:30:00+00:00,DALLAS MAVERICKS,93,LOS ANGELES LAKERS,109
2003-10-30 00:00:00+00:00,MIAMI HEAT,75,BOSTON CELTICS,98
2003-10-30 01:00:00+00:00,INDIANA PACERS,89,DETROIT PISTONS,87
2003-10-30 01:00:00+00:00,NEW JERSEY NETS,87,TORONTO RAPTORS,90
2003-10-30 01:00:00+00:00,MILWAUKEE BUCKS,89,MINNESOTA TIMBERWOLVES,95
2003-10-30 01:00:00+00:00,ATLANTA HAWKS,83,NEW ORLEANS HORNETS,88
2003-10-30 01:00:00+00:00,ORLANDO MAGIC,85,NEW YORK KNICKS,83
2003-10-30 01:30:00+00:00,WASHINGTON WIZARDS,99,CHICAGO BULLS,74
2003-10-30 02:00:00+00:00,PORTLAND TRAIL BLAZERS,92,UTAH JAZZ,99
2003-10-30 02:00:00+00:00,SAN ANTONIO SPURS,72,DENVER NUGGETS,80
2003-10-30 03:30:00+00:00,CLEVELAND CAVALIERS,92,SACRAMENTO KINGS,106
2003-10-30 03:30:00+00:00,DALLAS MAVERICKS,95,GOLDEN STATE WARRIORS,87
2003-10-30 10:30:00+00:00,LOS ANGELES CLIPPERS,100,SEATTLE SUPERSONICS,109
2003-10-31 00:00:00+00:00,NEW ORLEANS HORNETS,100,ORLANDO MAGIC,98
2003-10-31 01:00:00+00:00,DENVER NUGGETS,85,HOUSTON ROCKETS,102
2003-10-31 03:30:00+00:00,CLEVELAND CAVALIERS,86,PHOENIX SUNS,95
2003-11-01 00:00:00+00:00,WASHINGTON WIZARDS,79,TORONTO RAPTORS,82
2003-11-01 00:30:00+00:00,MILWAUKEE BUCKS,93,INDIANA PACERS,79
2003-11-01 00:30:00+00:00,DETROIT PISTONS,93,MIAMI HEAT,81
2003-11-01 01:00:00+00:00,BOSTON CELTICS,93,MEMPHIS GRIZZLIES,91
2003-11-01 01:00:00+00:00,MINNESOTA TIMBERWOLVES,61,NEW JERSEY NETS,84
2003-11-01 01:30:00+00:00,ATLANTA HAWKS,94,CHICAGO BULLS,100
2003-11-01 03:00:00+00:00,SEATTLE SUPERSONICS,124,LOS ANGELES CLIPPERS,105
2003-11-01 03:30:00+00:00,PHILADELPHIA 76ERS,89,SACRAMENTO KINGS,100
2003-11-02 00:00:00+00:00,INDIANA PACERS,103,ATLANTA HAWKS,99
2003-11-02 00:00:00+00:00,DETROIT PISTONS,96,ORLANDO MAGIC,85
2003-11-02 00:00:00+00:00,NEW JERSEY NETS,98,WASHINGTON WIZARDS,85
2003-11-02 01:00:00+00:00,TORONTO RAPTORS,56,MINNESOTA TIMBERWOLVES,73
2003-11-02 01:00:00+00:00,BOSTON CELTICS,90,NEW ORLEANS HORNETS,97
2003-11-02 01:30:00+00:00,UTAH JAZZ,102,DALLAS MAVERICKS,127
2003-11-02 01:30:00+00:00,MEMPHIS GRIZZLIES,79,HOUSTON ROCKETS,71
2003-11-02 01:30:00+00:00,CHICAGO BULLS,68,MILWAUKEE BUCKS,98
2003-11-02 01:30:00+00:00,NEW YORK KNICKS,74,SAN ANTONIO SPURS,86
2003-11-02 02:00:00+00:00,SACRAMENTO KINGS,88,DENVER NUGGETS,109
2003-11-02 02:00:00+00:00,LOS ANGELES LAKERS,103,PHOENIX SUNS,99
2003-11-02 03:00:00+00:00,CLEVELAND CAVALIERS,85,PORTLAND TRAIL BLAZERS,104
2003-11-02 03:30:00+00:00,PHILADELPHIA 76ERS,90,GOLDEN STATE WARRIORS,104
2003-11-03 02:30:00+00:00,GOLDEN STATE WARRIORS,72,LOS ANGELES LAKERS,87
2003-11-04 00:00:00+00:00,NEW YORK KNICKS,75,ORLANDO MAGIC,68
