start_time,away_team,away_team_score,home_team,home_team_score
2007-10-31 00:00:00+00:00,PORTLAND TRAIL BLAZERS,97,SAN ANTONIO SPURS,106
2007-10-31 02:30:00+00:00,UTAH JAZZ,117,GOLDEN STATE WARRIORS,96
2007-10-31 02:30:00+00:00,HOUSTON ROCKETS,95,LOS ANGELES LAKERS,93
2007-10-31 23:00:00+00:00,WASHINGTON WIZARDS,110,INDIANA PACERS,119
2007-10-31 23:00:00+00:00,MILWAUKEE BUCKS,83,ORLANDO MAGIC,102
2007-10-31 23:00:00+00:00,PHILADELPHIA 76ERS,97,TORONTO RAPTORS,106
2007-10-31 23:30:00+00:00,CHICAGO BULLS,103,NEW JERSEY NETS,112
2007-11-01 00:00:00+00:00,DALLAS MAVERICKS,92,CLEVELAND CAVALIERS,74
2007-11-01 00:00:00+00:00,SAN ANTONIO SPURS,104,MEMPHIS GRIZZLIES,101
2007-11-01 00:00:00+00:00,SACRAMENTO KINGS,90,NEW ORLEANS HORNETS,104
2007-11-01 02:30:00+00:00,SEATTLE SUPERSONICS,103,DENVER NUGGETS,120
2007-11-02 00:00:00+00:00,DETROIT PISTONS,91,MIAMI HEAT,80
2007-11-02 01:00:00+00:00,HOUSTON ROCKETS,106,UTAH JAZZ,95
2007-11-02 02:30:00+00:00,PHOENIX SUNS,106,SEATTLE SUPERSONICS,99
2007-11-02 23:00:00+00:00,MILWAUKEE BUCKS,99,CHARLOTTE BOBCATS,102
2007-11-02 23:00:00+00:00,MIAMI HEAT,85,INDIANA PACERS,87
2007-11-02 23:00:00+00:00,DETROIT PISTONS,116,ORLANDO MAGIC,92
2007-11-02 23:30:00+00:00,DALLAS MAVERICKS,94,ATLANTA HAWKS,101
2007-11-02 23:30:00+00:00,NEW YORK KNICKS,106,CLEVELAND CAVALIERS,110
2007-11-02 23:30:00+00:00,TORONTO RAPTORS,106,NEW JERSEY NETS,69
2007-11-03 00:00:00+00:00,WASHINGTON WIZARDS,83,BOSTON CELTICS,103
2007-11-03 00:00:00+00:00,DENVER NUGGETS,99,MINNESOTA TIMBERWOLVES,91
2007-11-03 00:00:00+00:00,PORTLAND TRAIL BLAZERS,93,NEW ORLEANS HORNETS,113
2007-11-03 00:30:00+00:00,PHILADELPHIA 76ERS,96,CHICAGO BULLS,85
2007-11-03 00:30:00+00:00,SACRAMENTO KINGS,80,SAN ANTONIO SPURS,96
2007-11-03 02:30:00+00:00,GOLDEN STATE WARRIORS,114,LOS ANGELES CLIPPERS,120
2007-11-03 02:30:00+00:00,LOS ANGELES LAKERS,119,PHOENIX SUNS,98
2007-11-03 23:00:00+00:00,NEW JERSEY NETS,93,PHILADELPHIA 76ERS,88
2007-11-03 23:00:00+00:00,ORLANDO MAGIC,94,WASHINGTON WIZARDS,82
2007-11-04 00:00:00+00:00,INDIANA PACERS,121,MEMPHIS GRIZZLIES,111
2007-11-04 00:30:00+00:00,SACRAMENTO KINGS,102,DALLAS MAVERICKS,123
2007-11-04 00:30:00+00:00,PORTLAND TRAIL BLAZERS,80,HOUSTON ROCKETS,89
2007-11-04 00:30:00+00:00,CHICAGO BULLS,72,MILWAUKEE BUCKS,78
2007-11-04 01:00:00+00:00,GOLDEN STATE WARRIORS,110,UTAH JAZZ,133
2007-11-04 19:30:00+00:00,BOSTON CELTICS,98,TORONTO RAPTORS,95
2007-11-04 20:30:00+00:00,SEATTLE SUPERSONICS,101,LOS ANGELES CLIPPERS,115
2007-11-04 23:00:00+00:00,CHARLOTTE BOBCATS,90,MIAMI HEAT,88
2007-11-04 23:00:00+00:00,MINNESOTA TIMBERWOLVES,93,NEW YORK KNICKS,97
2007-11-05 00:30:00+00:00,ATLANTA HAWKS,91,DETROIT PISTONS,92
2007-11-05 01:00:00+00:00,NEW ORLEANS HORNETS,93,DENVER NUGGETS,88
2007-11-05 01:00:00+00:00,CLEVELAND CAVALIERS,92,PHOENIX SUNS,103
2007-11-05 02:30:00+00:00,UTAH JAZZ,109,LOS ANGELES LAKERS,119
2007-11-06 01:30:00+00:00,HOUSTON ROCKETS,98,DALLAS MAVERICKS,107
2007-11-07 00:00:00+00:00,PHOENIX SUNS,115,CHARLOTTE BOBCATS,83
2007-11-07 00:30:00+00:00,ATLANTA HAWKS,82,NEW JERSEY NETS,87
2007-11-07 00:30:00+00:00,DENVER NUGGETS,112,NEW YORK KNICKS,119
2007-11-07 01:00:00+00:00,TORONTO RAPTORS,85,MILWAUKEE BUCKS,112
