,date,team1,team2,season,game_number_team1_x,game_number_team2_x,team1_game_id,team2_game_id,home_flag_team1,home_flag_team2,win_flag_team1,win_flag_team2,ortg_team1,ast%_team1,ts%_team1,efg%_team1,poss_team1,b2b_flag_team1,travel_flag_team1,dreb%_team1,oreb%_team1,stl%_team1,blk%_team1,tov%_team1,fg%_team1,3fg%_team1,ft%_team1,ortg_team2,ast%_team2,ts%_team2,efg%_team2,poss_team2,b2b_flag_team2,travel_flag_team2,dreb%_team2,oreb%_team2,stl%_team2,blk%_team2,tov%_team2,fg%_team2,3fg%_team2,ft%_team2,wins_team1,win%_team1,total_homegames_team1,total_homewins_team1,away_flag_team1,total_awaygames_team1,total_awaywins_team1,homeaway_win%_team1,total_b2bgames_team1,total_b2bwins_team1,break_flag_team1,total_breakgames_team1,total_breakwins_team1,b2bbreak_win%_team1,total_travelgames_team1,total_travelwins_team1,notravel_flag_team1,total_notravelgames_team1,total_notravelwins_team1,travel_win%_team1,wins_team2,win%_team2,total_homegames_team2,total_homewins_team2,away_flag_team2,total_awaygames_team2,total_awaywins_team2,homeaway_win%_team2,total_b2bgames_team2,total_b2bwins_team2,break_flag_team2,total_breakgames_team2,total_breakwins_team2,b2bbreak_win%_team2,total_travelgames_team2,total_travelwins_team2,notravel_flag_team2,total_notravelgames_team2,total_notravelwins_team2,travel_win%_team2
10,1999-02-23,ATLANTA HAWKS,DALLAS MAVERICKS,1999,11,12,ATLANTA HAWKS-1999-11,DALLAS MAVERICKS-1999-12,0,1,0,1,95.07829977628634,56.25,0.4361658456486043,0.3953488372093023,89.4,1,1,0.775,0.375,0.05580357142857143,0.10044642857142858,0.12304250559284116,0.37209302325581395,0.25,0.6538461538461539,99.33035714285715,69.6969696969697,0.49798567591763654,0.4382716049382716,89.6,1,1,0.625,0.225,0.04474272930648769,0.05592841163310962,0.11160714285714286,0.4074074074074074,0.45454545454545453,0.9473684210526315,6,0.6,5,3,1,6,3,0.6,4,2,0,7,2,0.6666666666666666,9,4,0,2,4,0.5,3,0.18181818181818182,3,1,0,9,1,0.0,4,2,0,8,2,0.3333333333333333,11,3,0,1,3,0.2
11,1999-02-25,ATLANTA HAWKS,HOUSTON ROCKETS,1999,12,12,ATLANTA HAWKS-1999-12,HOUSTON ROCKETS-1999-12,0,1,1,0,105.92255125284737,47.368421052631575,0.4674306393244873,0.43478260869565216,87.8,0,1,0.8125,0.32608695652173914,0.11600928074245939,0.09280742459396751,0.04555808656036447,0.41304347826086957,0.4,0.7647058823529411,100.92807424593968,68.57142857142857,0.5669968717413973,0.5704225352112676,86.2,0,0,0.6739130434782609,0.1875,0.03416856492027335,0.04555808656036447,0.18561484918793503,0.49295774647887325,0.4782608695652174,0.46153846153846156,7,0.5454545454545454,5,4,1,7,4,0.5,4,5,1,8,5,0.5714285714285714,10,5,0,2,5,0.4444444444444444,7,0.6363636363636364,5,4,0,7,4,1.0,5,4,1,7,4,0.6666666666666666,10,1,1,2,1,1.0
12,1999-02-27,ATLANTA HAWKS,LOS ANGELES CLIPPERS,1999,13,12,ATLANTA HAWKS-1999-13,LOS ANGELES CLIPPERS-1999-12,0,1,1,0,124.69733656174336,57.49999999999999,0.609035004730369,0.5540540540540541,82.6,0,1,0.6956521739130435,0.3,0.0851581508515815,0.0608272506082725,0.09685230024213076,0.5405405405405406,0.2857142857142857,0.875,90.02433090024331,37.93103448275862,0.45166015625,0.40540540540540543,82.2,1,1,0.7,0.30434782608695654,0.04842615012106538,0.02421307506053269,0.18248175182481752,0.3918918918918919,0.14285714285714285,0.7777777777777778,8,0.5833333333333334,5,5,1,8,5,0.5714285714285714,4,6,1,9,6,0.625,11,6,0,2,6,0.5,0,0.0,8,0,0,4,0,0.0,4,0,0,8,0,0.0,8,0,0,4,0,0.0
13,1999-03-01,ATLANTA HAWKS,ORLANDO MAGIC,1999,14,15,ATLANTA HAWKS-1999-14,ORLANDO MAGIC-1999-15,0,1,0,1,78.82352941176471,47.82608695652174,0.41875,0.34782608695652173,85.0,0,1,0.6818181818181818,0.2857142857142857,0.10204081632653061,0.056689342403628114,0.21176470588235294,0.3333333333333333,0.2857142857142857,0.76,79.36507936507937,61.53846153846154,0.39718565592374033,0.34615384615384615,88.2,1,1,0.7142857142857143,0.3181818181818182,0.11764705882352941,0.03529411764705882,0.17006802721088435,0.3333333333333333,0.13333333333333333,0.6956521739130435,8,0.6153846153846154,5,5,1,9,5,0.625,4,6,1,10,6,0.6666666666666666,12,6,0,2,6,0.5454545454545454,11,0.7142857142857143,8,8,0,7,8,1.0,5,4,0,10,4,0.75,14,10,0,1,10,0.6923076923076923
14,1999-03-02,ATLANTA HAWKS,WASHINGTON WIZARDS,1999,15,13,ATLANTA HAWKS-1999-15,WASHINGTON WIZARDS-1999-13,1,0,0,1,82.44111349036402,54.83870967741935,0.4516658845612389,0.4276315789473684,93.4,1,1,0.90625,0.14634146341463414,0.07743362831858407,0.022123893805309734,0.16059957173447537,0.40789473684210525,0.3,0.5714285714285714,107.30088495575221,50.0,0.6214761660686827,0.6126760563380281,90.4,1,1,0.8536585365853658,0.09375,0.05353319057815845,0.021413276231263382,0.17699115044247787,0.5915492957746479,0.42857142857142855,0.625,8,0.5714285714285714,6,3,0,9,3,0.6,5,2,0,10,2,0.5,13,6,0,2,6,0.5,5,0.3333333333333333,7,2,1,6,2,0.2,4,4,0,9,4,1.0,8,4,0,5,4,0.42857142857142855
15,1999-03-04,ATLANTA HAWKS,TORONTO RAPTORS,1999,16,14,ATLANTA HAWKS-1999-16,TORONTO RAPTORS-1999-14,1,0,0,1,86.51685393258427,51.85185185185185,0.49870466321243523,0.4609375,89.0,0,0,0.6346153846153846,0.2631578947368421,0.05592841163310962,0.03355704697986577,0.25842696629213485,0.421875,0.38461538461538464,0.6,96.19686800894854,57.14285714285714,0.43949304987735077,0.41397849462365593,89.4,0,1,0.7368421052631579,0.36538461538461536,0.19101123595505617,0.02247191011235955,0.12304250559284116,0.3763440860215054,0.4375,0.8181818181818182,8,0.5333333333333333,7,3,0,9,3,0.5,5,6,1,11,6,0.6,13,2,1,3,2,1.0,5,0.3076923076923077,6,2,1,8,2,0.14285714285714285,4,4,1,10,4,0.3333333333333333,11,3,0,3,3,0.2
16,1999-03-08,ATLANTA HAWKS,ORLANDO MAGIC,1999,17,19,ATLANTA HAWKS-1999-17,ORLANDO MAGIC-1999-19,0,1,1,0,118.5031185031185,53.48837209302325,0.5157437567861021,0.4739583333333333,96.2,0,1,0.7297297297297297,0.48936170212765956,0.10183299389002036,0.06109979633401222,0.10395010395010394,0.4479166666666667,0.4166666666666667,0.696969696969697,112.0162932790224,59.09090909090909,0.5983463881636205,0.5773809523809523,98.2,0,0,0.5106382978723404,0.2702702702702703,0.041580041580041575,0.06237006237006237,0.17311608961303462,0.5238095238095238,0.6,0.7222222222222222,9,0.5,7,6,1,10,6,0.5555555555555556,5,7,1,12,7,0.5454545454545454,14,7,0,3,7,0.46153846153846156,14,0.7777777777777778,11,10,0,8,10,1.0,6,9,1,13,9,0.75,16,2,1,3,2,1.0
17,1999-03-10,ATLANTA HAWKS,MIAMI HEAT,1999,18,19,ATLANTA HAWKS-1999-18,MIAMI HEAT-1999-19,0,1,0,1,93.97590361445783,53.125,0.45034642032332567,0.4125,83.0,0,1,0.725,0.3404255319148936,0.09389671361502347,0.035211267605633804,0.1566265060240964,0.4,0.14285714285714285,0.8,103.28638497652582,50.0,0.528084493518963,0.4788732394366197,85.2,0,0,0.6595744680851063,0.275,0.08433734939759036,0.08433734939759036,0.16431924882629106,0.4225352112676056,0.5333333333333333,0.7142857142857143,9,0.5294117647058824,7,6,1,11,6,0.6,5,7,1,13,7,0.5833333333333334,15,7,0,3,7,0.5,14,0.7222222222222222,10,8,0,9,8,0.7777777777777778,7,9,1,12,9,0.7272727272727273,14,5,1,5,5,1.0
18,1999-03-11,ATLANTA HAWKS,BOSTON CELTICS,1999,19,17,ATLANTA HAWKS-1999-19,BOSTON CELTICS-1999-17,1,0,1,0,107.84313725490196,53.84615384615385,0.5046900489396411,0.4642857142857143,91.8,1,1,0.7291666666666666,0.45454545454545453,0.07510729613733905,0.04291845493562232,0.16339869281045752,0.4642857142857143,0.0,0.65625,91.20171673819742,44.44444444444444,0.44307756463719766,0.4090909090909091,93.2,0,1,0.5454545454545454,0.2708333333333333,0.08714596949891068,0.07625272331154684,0.11802575107296137,0.4090909090909091,0.0,0.7222222222222222,10,0.5,8,4,0,11,4,0.42857142857142855,6,3,0,13,3,0.4,16,8,0,3,8,0.4666666666666667,7,0.4375,6,3,1,11,3,0.3,5,3,1,12,3,0.2727272727272727,15,5,0,2,5,0.35714285714285715
19,1999-03-13,ATLANTA HAWKS,TORONTO RAPTORS,1999,20,18,ATLANTA HAWKS-1999-20,TORONTO RAPTORS-1999-18,1,0,1,0,96.62921348314607,57.692307692307686,0.5070754716981132,0.4230769230769231,89.0,0,0,0.6923076923076923,0.275,0.12443438914027148,0.07918552036199095,0.19101123595505617,0.4,0.2727272727272727,0.6888888888888889,84.84162895927602,20.689655172413794,0.42886550777676125,0.3881578947368421,88.4,0,1,0.725,0.3076923076923077,0.11235955056179775,0.0449438202247191,0.1583710407239819,0.3815789473684211,0.125,0.6153846153846154,11,0.5263157894736842,9,5,0,11,5,0.5,6,8,1,14,8,0.5384615384615384,16,3,1,4,3,0.6666666666666666,6,0.35294117647058826,8,2,1,10,2,0.2222222222222222,5,5,1,13,5,0.4166666666666667,14,3,0,4,3,0.23076923076923078
