start_time,away_team,away_team_score,home_team,home_team_score
2006-11-09 03:00:00+00:00,LOS ANGELES LAKERS,90,PORTLAND TRAIL BLAZERS,101
2006-11-09 03:30:00+00:00,DALLAS MAVERICKS,85,LOS ANGELES CLIPPERS,103
2006-11-09 03:30:00+00:00,DETROIT PISTONS,86,SACRAMENTO KINGS,99
2006-11-10 01:00:00+00:00,CHICAGO BULLS,94,CLEVELAND CAVALIERS,113
2006-11-10 03:30:00+00:00,NEW ORLEANS/OKLAHOMA CITY HORNETS,116,GOLDEN STATE WARRIORS,121
2006-11-10 03:30:00+00:00,DALLAS MAVERICKS,119,PHOENIX SUNS,112
2006-11-11 00:00:00+00:00,SEATTLE SUPERSONICS,99,CHARLOTTE BOBCATS,85
2006-11-11 00:00:00+00:00,ORLANDO MAGIC,83,INDIANA PACERS,93
2006-11-11 00:00:00+00:00,DENVER NUGGETS,108,PHILADELPHIA 76ERS,101
2006-11-11 00:00:00+00:00,ATLANTA HAWKS,111,TORONTO RAPTORS,102
2006-11-11 00:00:00+00:00,MILWAUKEE BUCKS,111,WASHINGTON WIZARDS,116
2006-11-11 00:30:00+00:00,UTAH JAZZ,107,BOSTON CELTICS,100
2006-11-11 01:00:00+00:00,MIAMI HEAT,113,NEW JERSEY NETS,106
2006-11-11 01:30:00+00:00,NEW YORK KNICKS,94,HOUSTON ROCKETS,103
2006-11-11 03:00:00+00:00,NEW ORLEANS/OKLAHOMA CITY HORNETS,91,PORTLAND TRAIL BLAZERS,92
2006-11-11 03:30:00+00:00,DETROIT PISTONS,97,LOS ANGELES LAKERS,83
2006-11-12 00:00:00+00:00,SEATTLE SUPERSONICS,113,ATLANTA HAWKS,112
2006-11-12 00:30:00+00:00,BOSTON CELTICS,93,CLEVELAND CAVALIERS,94
2006-11-12 01:00:00+00:00,ORLANDO MAGIC,109,MINNESOTA TIMBERWOLVES,98
2006-11-12 01:00:00+00:00,NEW YORK KNICKS,92,SAN ANTONIO SPURS,100
2006-11-12 01:30:00+00:00,INDIANA PACERS,80,CHICAGO BULLS,89
2006-11-12 01:30:00+00:00,UTAH JAZZ,113,MILWAUKEE BUCKS,111
2006-11-12 02:00:00+00:00,MEMPHIS GRIZZLIES,87,PHOENIX SUNS,96
2006-11-12 03:30:00+00:00,DETROIT PISTONS,79,GOLDEN STATE WARRIORS,111
2006-11-12 20:30:00+00:00,NEW ORLEANS/OKLAHOMA CITY HORNETS,76,LOS ANGELES CLIPPERS,92
2006-11-12 23:00:00+00:00,DENVER NUGGETS,108,CHARLOTTE BOBCATS,101
2006-11-12 23:00:00+00:00,NEW JERSEY NETS,105,WASHINGTON WIZARDS,93
2006-11-13 01:00:00+00:00,HOUSTON ROCKETS,94,MIAMI HEAT,72
2006-11-13 02:00:00+00:00,DALLAS MAVERICKS,103,PORTLAND TRAIL BLAZERS,96
2006-11-13 02:00:00+00:00,TORONTO RAPTORS,92,SACRAMENTO KINGS,107
2006-11-13 02:30:00+00:00,MEMPHIS GRIZZLIES,81,LOS ANGELES LAKERS,91
2006-11-14 00:30:00+00:00,ORLANDO MAGIC,92,BOSTON CELTICS,89
