start_time,away_team,away_team_score,home_team,home_team_score
2002-10-30 00:30:00+00:00,PHILADELPHIA 76ERS,88,ORLANDO MAGIC,95
2002-10-30 03:00:00+00:00,CLEVELAND CAVALIERS,67,SACRAMENTO KINGS,94
2002-10-30 03:30:00+00:00,SAN ANTONIO SPURS,87,LOS ANGELES LAKERS,82
2002-10-31 00:00:00+00:00,CHICAGO BULLS,99,BOSTON CELTICS,96
2002-10-31 00:00:00+00:00,WASHINGTON WIZARDS,68,TORONTO RAPTORS,74
2002-10-31 00:00:00+00:00,MILWAUKEE BUCKS,93,PHILADELPHIA 76ERS,95
2002-10-31 00:00:00+00:00,HOUSTON ROCKETS,82,INDIANA PACERS,91
2002-10-31 00:30:00+00:00,ATLANTA HAWKS,94,NEW JERSEY NETS,105
2002-10-31 00:30:00+00:00,ORLANDO MAGIC,100,MIAMI HEAT,86
2002-10-31 01:00:00+00:00,DENVER NUGGETS,77,MINNESOTA TIMBERWOLVES,83
2002-10-31 01:00:00+00:00,DALLAS MAVERICKS,119,MEMPHIS GRIZZLIES,108
2002-10-31 01:00:00+00:00,NEW YORK KNICKS,77,DETROIT PISTONS,86
2002-10-31 01:30:00+00:00,UTAH JAZZ,75,NEW ORLEANS HORNETS,100
2002-10-31 02:30:00+00:00,LOS ANGELES LAKERS,90,PORTLAND TRAIL BLAZERS,102
2002-10-31 03:00:00+00:00,PHOENIX SUNS,73,SEATTLE SUPERSONICS,86
2002-10-31 03:30:00+00:00,CLEVELAND CAVALIERS,98,LOS ANGELES CLIPPERS,96
2002-10-31 03:30:00+00:00,SAN ANTONIO SPURS,98,GOLDEN STATE WARRIORS,106
2002-11-01 00:30:00+00:00,UTAH JAZZ,98,ATLANTA HAWKS,105
2002-11-01 00:30:00+00:00,BOSTON CELTICS,69,WASHINGTON WIZARDS,114
2002-11-01 03:00:00+00:00,PORTLAND TRAIL BLAZERS,72,SACRAMENTO KINGS,100
2002-11-02 00:30:00+00:00,INDIANA PACERS,91,NEW JERSEY NETS,102
2002-11-02 01:00:00+00:00,MEMPHIS GRIZZLIES,86,DETROIT PISTONS,109
2002-11-02 01:00:00+00:00,ORLANDO MAGIC,105,MINNESOTA TIMBERWOLVES,111
2002-11-02 01:00:00+00:00,NEW YORK KNICKS,86,PHILADELPHIA 76ERS,98
2002-11-02 01:30:00+00:00,NEW ORLEANS HORNETS,79,CHICAGO BULLS,84
2002-11-02 01:30:00+00:00,TORONTO RAPTORS,72,SAN ANTONIO SPURS,91
2002-11-02 02:00:00+00:00,HOUSTON ROCKETS,83,DENVER NUGGETS,74
2002-11-02 02:00:00+00:00,CLEVELAND CAVALIERS,74,PHOENIX SUNS,78
2002-11-02 03:30:00+00:00,SEATTLE SUPERSONICS,106,GOLDEN STATE WARRIORS,93
2002-11-02 03:30:00+00:00,LOS ANGELES LAKERS,108,LOS ANGELES CLIPPERS,93
2002-11-03 00:00:00+00:00,CHICAGO BULLS,92,ATLANTA HAWKS,98
2002-11-03 00:00:00+00:00,MINNESOTA TIMBERWOLVES,80,INDIANA PACERS,87
2002-11-03 00:00:00+00:00,NEW JERSEY NETS,87,WASHINGTON WIZARDS,79
2002-11-03 00:30:00+00:00,BOSTON CELTICS,117,NEW YORK KNICKS,107
2002-11-03 01:00:00+00:00,SACRAMENTO KINGS,116,MEMPHIS GRIZZLIES,99
2002-11-03 01:30:00+00:00,PHOENIX SUNS,83,DALLAS MAVERICKS,97
2002-11-03 01:30:00+00:00,TORONTO RAPTORS,76,HOUSTON ROCKETS,88
2002-11-03 01:30:00+00:00,ORLANDO MAGIC,100,MILWAUKEE BUCKS,90
2002-11-03 01:30:00+00:00,MIAMI HEAT,95,NEW ORLEANS HORNETS,100
2002-11-03 02:00:00+00:00,GOLDEN STATE WARRIORS,92,UTAH JAZZ,101
2002-11-03 03:00:00+00:00,DENVER NUGGETS,96,PORTLAND TRAIL BLAZERS,79
2002-11-03 20:30:00+00:00,DETROIT PISTONS,72,LOS ANGELES CLIPPERS,74
