start_time,away_team,away_team_score,home_team,home_team_score
1999-02-05 05:00:00+00:00,CLEVELAND CAVALIERS,83,ATLANTA HAWKS,100
1999-02-05 05:00:00+00:00,TORONTO RAPTORS,103,BOSTON CELTICS,92
1999-02-05 05:00:00+00:00,PHILADELPHIA 76ERS,78,CHARLOTTE HORNETS,66
1999-02-05 05:00:00+00:00,MINNESOTA TIMBERWOLVES,110,DENVER NUGGETS,92
1999-02-05 05:00:00+00:00,WASHINGTON WIZARDS,81,INDIANA PACERS,96
1999-02-05 05:00:00+00:00,PHOENIX SUNS,101,LOS ANGELES CLIPPERS,92
1999-02-05 05:00:00+00:00,HOUSTON ROCKETS,91,LOS ANGELES LAKERS,99
1999-02-05 05:00:00+00:00,DETROIT PISTONS,95,MIAMI HEAT,81
1999-02-05 05:00:00+00:00,NEW YORK KNICKS,85,ORLANDO MAGIC,93
1999-02-05 05:00:00+00:00,SACRAMENTO KINGS,83,SAN ANTONIO SPURS,101
1999-02-05 05:00:00+00:00,DALLAS MAVERICKS,86,SEATTLE SUPERSONICS,92
1999-02-05 05:00:00+00:00,CHICAGO BULLS,96,UTAH JAZZ,104
1999-02-06 05:00:00+00:00,NEW JERSEY NETS,106,ATLANTA HAWKS,111
1999-02-06 05:00:00+00:00,CLEVELAND CAVALIERS,73,BOSTON CELTICS,77
1999-02-06 05:00:00+00:00,MILWAUKEE BUCKS,113,CHARLOTTE HORNETS,107
1999-02-06 05:00:00+00:00,HOUSTON ROCKETS,86,GOLDEN STATE WARRIORS,84
1999-02-06 05:00:00+00:00,ORLANDO MAGIC,75,PHILADELPHIA 76ERS,95
1999-02-06 05:00:00+00:00,MINNESOTA TIMBERWOLVES,82,SAN ANTONIO SPURS,96
1999-02-06 05:00:00+00:00,TORONTO RAPTORS,97,WASHINGTON WIZARDS,98
1999-02-07 05:00:00+00:00,INDIANA PACERS,98,DETROIT PISTONS,107
1999-02-07 05:00:00+00:00,DALLAS MAVERICKS,102,GOLDEN STATE WARRIORS,99
1999-02-07 05:00:00+00:00,CHICAGO BULLS,89,LOS ANGELES CLIPPERS,84
1999-02-07 05:00:00+00:00,UTAH JAZZ,100,LOS ANGELES LAKERS,91
1999-02-07 05:00:00+00:00,ATLANTA HAWKS,69,NEW JERSEY NETS,79
1999-02-07 05:00:00+00:00,MIAMI HEAT,83,NEW YORK KNICKS,79
1999-02-07 05:00:00+00:00,DENVER NUGGETS,108,PHOENIX SUNS,115
1999-02-07 05:00:00+00:00,VANCOUVER GRIZZLIES,87,SACRAMENTO KINGS,109
1999-02-07 05:00:00+00:00,PORTLAND TRAIL BLAZERS,88,SEATTLE SUPERSONICS,91
1999-02-08 05:00:00+00:00,MIAMI HEAT,91,CHARLOTTE HORNETS,94
1999-02-08 05:00:00+00:00,INDIANA PACERS,95,CLEVELAND CAVALIERS,89
1999-02-08 05:00:00+00:00,WASHINGTON WIZARDS,103,DETROIT PISTONS,106
1999-02-08 05:00:00+00:00,DENVER NUGGETS,80,HOUSTON ROCKETS,99
1999-02-08 05:00:00+00:00,BOSTON CELTICS,90,ORLANDO MAGIC,107
1999-02-08 05:00:00+00:00,LOS ANGELES LAKERS,80,SAN ANTONIO SPURS,75
